Store,Dept,Total_Actual_Sales,Historical_Mean_WMAE,Naive_WMAE,Seasonal_Naive_WMAE,Best_Model
21,95,472441.09,2361.972953244276,5482.036874999998,2349.5518749999997,Seasonal Naive
21,97,38941.54,110.30151717557246,216.13125000000005,129.51312500000014,Historical Mean
21,98,897.76,45.491238317757,56.8,69.04791471962616,Historical Mean
21,99,59.76,11355.403244814224,11355.403244814224,11355.403244814224,Historical Mean
22,1,211500.48,8162.569312977102,5117.3637499999995,2192.135,Seasonal Naive
22,2,653483.0100000001,2952.8716078244265,2903.080625000001,3295.354375000001,Naive Forecast
22,3,273584.78,15493.321011450382,14077.48875,3651.465625000001,Seasonal Naive
22,4,412154.1499999999,3154.3695849236656,2040.6593750000004,2819.0550000000003,Naive Forecast
22,5,224368.47000000003,6555.776416984732,5352.469375000001,2993.1506249999993,Seasonal Naive
22,6,38022.28999999999,2561.8888788167937,1662.4043750000005,1158.93125,Seasonal Naive
22,7,239360.8,10610.859427480915,2369.2399999999993,3353.600624999999,Naive Forecast
22,8,457474.0,1620.0360496183202,1285.1499999999978,2120.5106250000003,Naive Forecast
22,9,268323.71,2192.665300572518,2055.928125,2842.5274999999992,Naive Forecast
22,10,215321.12000000005,1625.5649236641227,1061.066250000001,1118.7800000000007,Naive Forecast
22,11,126208.53000000001,4952.922752862596,1311.2668750000003,1954.9337500000001,Naive Forecast
22,12,42780.62999999999,237.1175524809158,235.76812499999986,443.36312499999985,Naive Forecast
22,13,483313.16000000003,3931.2471374045776,1858.5450000000005,1326.3387500000003,Seasonal Naive
22,14,186164.32000000004,2199.6838740458024,1061.9550000000004,1347.0800000000006,Naive Forecast
22,16,130685.67000000001,8616.696226145037,9495.458125000003,857.150625,Seasonal Naive
22,17,162558.68,1789.5702480916038,1165.3837500000002,1498.5937499999995,Naive Forecast
22,18,82940.9,8333.906396396396,5313.453750000001,1535.3620495495502,Seasonal Naive
22,19,15718.369999999997,404.46743055555555,342.44437499999987,413.2537500000001,Naive Forecast
22,20,76669.34,710.2561927480914,1001.8024999999998,520.81375,Seasonal Naive
22,21,56246.60999999999,876.3607108778624,339.2918749999999,843.514375,Naive Forecast
22,22,147019.87000000002,1416.7682013358778,1459.990625,2009.5881249999998,Historical Mean
22,23,342911.94,3601.168902671756,3090.83,3476.9675000000007,Naive Forecast
22,24,115865.63,1842.6131727099237,1950.538125,1872.3450000000003,Historical Mean
22,25,118744.12,785.8856011450379,1429.4774999999995,928.0356249999996,Historical Mean
22,26,117524.22000000002,1672.1749999999997,3297.7662499999997,1541.7531250000002,Seasonal Naive
22,27,25844.73,314.8504246183206,475.7206249999999,283.801875,Seasonal Naive
22,28,10138.759999999998,292.3485973282443,392.4425,143.58187500000003,Seasonal Naive
22,29,85510.04000000001,1038.911459923664,1084.8587500000003,590.74125,Seasonal Naive
22,30,53276.35999999999,638.3708396946565,1227.9024999999997,308.62500000000006,Seasonal Naive
22,31,47671.35999999999,1231.9847709923663,1425.2937499999998,1102.976875,Seasonal Naive
22,32,59010.55,1488.3413311068705,659.0418749999999,730.1381250000002,Naive Forecast
22,33,99723.49,1410.615014312977,1848.8181250000002,1005.6725000000001,Seasonal Naive
22,34,257380.18,1942.1620515267182,1752.2575000000002,2388.6868750000012,Naive Forecast
22,35,53370.380000000005,717.1173854961833,826.4825000000002,869.3731250000003,Historical Mean
22,36,20222.140000000003,943.1471851145037,802.66625,532.5675,Seasonal Naive
22,38,869602.86,5407.836793893126,5603.113750000001,7854.422499999996,Historical Mean
22,40,681214.87,2382.6126956106837,2155.461875000001,4456.025,Naive Forecast
22,41,11481.250000000002,375.28084446564895,606.171875,344.98625000000004,Seasonal Naive
22,42,92249.89,701.9921421755726,726.234375,561.0981250000001,Seasonal Naive
22,44,70911.71999999999,880.3747900763358,1081.11375,651.8237499999999,Seasonal Naive
22,46,241745.28999999998,2397.075854007633,2169.193125,1196.9081249999992,Seasonal Naive
22,47,0.0,60.27272727272727,78.0,60.27272727272727,Historical Mean
22,49,118.60999999999999,9.008645833333334,10.149166666666666,9.44640625,Historical Mean
22,52,26083.38,660.2287881679389,887.42375,530.3418750000002,Seasonal Naive
22,54,510.24,48.76420898437499,23.225000000000005,47.32375,Naive Forecast
22,55,77424.77999999998,5088.793311068702,942.6375,1704.44,Naive Forecast
22,56,26706.829999999994,2564.666167635659,1695.9606250000004,706.9562500000001,Seasonal Naive
22,58,39051.97,1458.7375384615384,1294.251875,2120.970625,Naive Forecast
22,59,2912.65,703.5756154580152,76.738125,118.390625,Naive Forecast
22,60,5130.0,51.19694656488548,56.25,144.5,Historical Mean
22,67,120612.91000000002,2401.353325381679,886.756875,908.2200000000004,Naive Forecast
22,71,56514.37999999999,1098.6876717557254,1099.6162499999998,1197.4943750000002,Historical Mean
22,72,693437.5,9926.276049618315,5230.24,7646.831874999998,Naive Forecast
22,74,220508.05,2249.1800524809164,3034.2656250000005,1494.5831249999997,Seasonal Naive
22,79,187430.13999999998,1159.1182251908403,1135.9725000000008,1953.3643749999994,Naive Forecast
22,80,18675.33,197.12010973282446,329.61187499999994,388.25624999999997,Historical Mean
22,81,139093.38,910.1704293893121,641.80875,1202.58375,Naive Forecast
22,82,225936.49,1270.2985925572516,1262.5143749999993,2571.094375,Naive Forecast
22,83,16744.24,160.15343511450382,362.88,383.634375,Historical Mean
22,85,33026.9,243.6152862595419,346.24375,479.3037499999999,Historical Mean
22,87,194215.21999999997,2598.862528625954,1812.9874999999993,2827.9893749999997,Naive Forecast
22,90,270580.56999999995,1683.9844036259535,1439.6831249999993,2035.7556249999996,Naive Forecast
22,91,252860.86,1149.6423282442756,2151.7937500000007,1468.879374999999,Historical Mean
22,92,667301.59,5459.746436068698,3514.4131250000014,6358.61375,Naive Forecast
22,93,37160.95,795.8886116412216,791.4968750000002,802.8181250000001,Naive Forecast
22,94,315.53,917.0430297619047,19.968666666666664,472.4413452380952,Naive Forecast
22,95,688695.95,3289.307132633587,3204.913125000003,3805.391874999998,Naive Forecast
22,96,23.15,3.3379999999999996,4.042,3.3379999999999996,Historical Mean
22,97,55925.49,363.97726622137395,400.9481250000001,384.4399999999998,Historical Mean
22,98,2280.02,69.68813976377952,117.37374999999999,93.92937500000001,Historical Mean
23,1,395411.32,7425.531078244274,6144.562500000001,2449.71,Seasonal Naive
23,2,929436.8700000001,8840.303936068702,8043.5531249999985,4170.8068749999975,Seasonal Naive
23,3,386589.11,15969.250052480915,17517.023125,2531.314374999999,Seasonal Naive
23,4,369730.45999999996,4364.3185019083985,2962.4787499999993,1148.4387500000005,Seasonal Naive
23,5,348348.01,9968.047771946565,9154.733125000002,5053.3362499999985,Seasonal Naive
23,6,60622.22,2619.00300572519,625.9875000000002,1518.59125,Naive Forecast
23,7,371932.99000000005,13450.652686068703,1689.3068749999995,3980.1987500000005,Naive Forecast
23,8,480275.93,4167.043029580159,1779.7418749999988,1915.46375,Naive Forecast
23,9,612043.8,3427.033559160306,8867.156249999998,4185.643750000001,Historical Mean
23,10,365539.83,923.6899570610683,1461.8481250000007,1228.0968750000009,Historical Mean
23,11,318031.12,6381.854274809164,5403.188749999999,3719.8287499999997,Seasonal Naive
23,12,67298.78,768.8868129770992,917.4549999999998,865.5143750000002,Historical Mean
23,13,515553.7200000001,6476.641870229009,5116.181249999997,1791.5506250000003,Seasonal Naive
23,14,429856.72,3589.5414980916034,4470.657499999999,2484.8375,Seasonal Naive
23,16,123796.68999999999,13689.82000477099,13819.726875,2057.5243749999995,Seasonal Naive
23,17,344530.04,2291.6276049618323,3653.7500000000014,2446.02625,Historical Mean
23,18,97327.35999999999,9693.179386363636,6137.64125,3765.1116420454546,Seasonal Naive
23,19,12630.929999999998,610.8166841603055,382.491875,456.5181250000001,Naive Forecast
23,20,154611.94999999998,2364.632361641222,2703.9268749999997,1260.4856249999996,Seasonal Naive
23,21,103241.20999999999,489.24687500000016,499.33687499999985,449.31562499999956,Seasonal Naive
