Store,Dept,Error_Mean,Error_SD,Error_MAE,N,Shrunk_Error_SD,Safety_Stock_95
2.0,42.0,-184.23888962029469,886.6181733426682,680.5805479654991,4,2031.7597487167816,3341.94739177081
2.0,44.0,273.55364687034194,269.7399845609256,280.1925058013919,4,1942.0045348789479,3194.313202751844
2.0,45.0,5.97,0.0,5.97,2,2231.591893351749,3670.6420196551276
2.0,46.0,-331.505579793321,395.0295055366496,401.1544782051815,4,1952.6970935035467,3211.900896586907
2.0,48.0,783.3266054316707,518.6363131451261,783.3266054316707,4,1967.1028433997342,3235.5962465526068
2.0,49.0,724.0787408245651,5122.320431507663,4035.679655872518,4,4105.372709678789,6752.737191502749
2.0,52.0,127.0919662758605,306.98064735024013,257.94172573023377,4,1944.7674263980052,3198.8577548878393
2.0,54.0,11.440000000000001,4.864894654563448,11.440000000000001,2,2231.5936609382793,3670.6449270762428
2.0,55.0,-324.71029867924835,2296.241256195573,1865.4977523854677,4,2524.1560445388964,4151.867224851286
2.0,56.0,183.75279476363522,383.41637448833256,374.5942323716884,4,1951.5393518880994,3209.9965810916656
2.0,58.0,2351.564382296943,7993.7613964761285,4765.661675840223,4,5973.701734749646,9825.864964729257
2.0,59.0,148.08436781265766,72.99459622757244,148.08436781265766,4,1933.3043964658405,3180.002748528065
2.0,60.0,127.3823725714658,155.66419608550024,127.3823725714658,4,1935.7472600591243,3184.0209015696255
2.0,67.0,-227.3343156045653,640.7227564200712,590.8522545339788,4,1985.0099770913498,3265.0508603535654
2.0,71.0,522.8932572094184,1157.0423606994182,958.8017940332554,4,2098.66035748555,3451.9891007493798
2.0,72.0,5119.494181552647,5076.089741440036,5622.164537826167,4,4076.5604761160257,6705.345284626465
2.0,74.0,-203.9865017393272,1673.1935098107099,1368.2943603344952,4,2266.007512011219,3727.2506748309356
2.0,79.0,132.7867246646465,5708.528732841234,3975.7088985936416,4,4475.3381917674005,7361.276256563052
2.0,80.0,-111.13229693247195,904.6718198408328,618.7187590930425,4,2035.735084597698,3348.4862374128857
2.0,81.0,107.1826082317275,1634.5246667894507,1121.2564931603265,4,2251.851954953193,3703.9668554625227
2.0,82.0,1326.7728486863152,517.9406876407662,1326.7728486863152,4,1967.0112002253138,3235.445506944776
2.0,83.0,-69.99138089289977,710.8441904420653,489.32993833686373,4,1996.9104925853717,3284.6254664264993
2.0,85.0,222.77739899907965,499.3676748960953,434.1314044050307,4,1964.6083124176432,3231.4931082191715
2.0,87.0,1459.4050886176983,2540.3248360770826,2454.977763264892,4,2638.4895149024114,4339.929048260662
2.0,90.0,-34.558886323455226,2056.3018278745385,1386.25379130086,4,2418.5099519156456,3978.09486622668
2.0,91.0,-482.62000561122113,2097.835852781886,1705.6445231718317,4,2436.279831313202,4007.3237168042415
2.0,92.0,-125.39233882757253,3104.455548195921,2228.047833328441,4,2924.6921050286905,4810.690416672777
2.0,93.0,3065.850911895137,4385.195075712849,3867.6677858372095,4,3653.7610362314394,6009.902092459252
2.0,94.0,-639.0608799231268,4009.9364496865865,2954.781199208708,4,3431.4424006702293,5644.220478417494
