Store,Dept,Demand,Fulfilled,Lost_Sales,Average_Inventory,Total_Cost,Fill_Rate
4.0,26.0,160909.04,154677.48075655682,6231.559243443186,877.776111381433,37302.228996885955,0.9612727834095388
4.0,27.0,17849.57,17816.701472822628,32.868527177372016,733.0849361710796,5295.937189084417,0.9981585815693391
4.0,28.0,5776.68,5776.68,0.0,812.8254627909367,5689.7782395365575,1.0
4.0,29.0,65384.05,65055.60111333197,328.44888666803126,1103.1705501810522,9364.438284607522,0.9949766206487969
4.0,30.0,38392.24,38392.24,0.0,1736.9348259393284,12158.5437815753,1.0
4.0,31.0,20418.21,20418.21,0.0,1149.7797866009507,8048.458506206654,1.0
4.0,32.0,72034.41,72034.41,0.0,1995.1101829184395,13965.771280429077,1.0
4.0,33.0,82428.28,78621.723417931,3806.55658206899,1244.575772162328,27744.813315481246,0.9538197742077235
4.0,34.0,182003.13,173994.7422952981,8008.387704701887,914.8593658792795,46445.954084664394,0.9559986264813034
4.0,35.0,24543.379999999997,24118.193866418133,425.18613358186667,1079.902034795569,9685.244911478318,0.9826761377780132
4.0,36.0,21130.29,17978.5317266526,3151.758273347402,556.3450163134321,19653.206480931032,0.8508416934482489
4.0,37.0,21877.47,21877.47,0.0,826.6748238296346,5786.723766807442,1.0
4.0,38.0,530722.92,516282.2473564374,14440.672643562619,4794.5392718591365,105765.13812082705,0.9727905615164262
4.0,40.0,570532.69,569046.5452376456,1486.1447623544227,3284.320621002821,30420.96815879186,0.997395162821688
4.0,41.0,16012.36,16012.36,0.0,946.7574135597549,6627.301894918284,1.0
4.0,42.0,68261.31999999999,67942.10988951207,319.2101104879257,1293.827551679037,10652.843414192888,0.9953237043982166
4.0,44.0,46479.86,45594.36107701996,885.4989229800403,807.6083309059532,10080.752931241874,0.9809487609691586
4.0,45.0,20.94,20.94,0.0,838.0826131895665,1676.165226379133,1.0
4.0,46.0,241168.89,241168.89,0.0,3304.0080236560802,23128.056165592563,1.0
4.0,48.0,24256.0,20784.38799673651,3471.61200326349,1192.1870764732423,25703.369551630145,0.8568761542190184
4.0,49.0,46740.96,45564.192645006086,1176.7673549939154,1004.6981308921097,12916.723691214345,0.9748236374478848
4.0,52.0,23530.760000000002,23530.760000000002,0.0,1582.9381093886325,11080.566765720427,1.0
4.0,54.0,206.8,206.8,0.0,734.8198580042482,5143.7390060297375,1.0
4.0,55.0,95477.94,95464.73550217898,13.204497821021505,2007.7325764669542,14120.150524373787,0.9998617010607789
4.0,56.0,7029.52,7029.52,0.0,1241.944621887665,8693.612353213655,1.0
4.0,58.0,26330.0,24031.006133377243,2298.993866622758,1496.4959831867686,21970.441215421168,0.912685382961536
4.0,59.0,2618.73,2618.73,0.0,746.8039821923887,5227.627875346721,1.0
4.0,60.0,2439.0,2439.0,0.0,744.5230032709458,5211.66102289662,1.0
4.0,67.0,79357.81,79310.8878127655,46.92218723449878,1072.165321663587,7739.768187817603,0.9994087262837206
4.0,71.0,47093.630000000005,47093.630000000005,0.0,1378.7102429252882,9650.971700477017,1.0
4.0,72.0,721219.51,663894.0375736972,57325.47242630283,10029.199533216199,356831.75886402756,0.9205159155687527
4.0,74.0,125935.23,125935.23,0.0,2314.8800971942815,16204.160680359972,1.0
4.0,79.0,382188.39,376599.3857087308,5589.00429126923,2141.022753456414,42932.18073054105,0.9853763106428501
4.0,80.0,134395.62,134395.62,0.0,2265.119445093476,15855.836115654332,1.0
4.0,81.0,232755.84,232622.88620560442,132.9537943955802,956.4078802324382,7359.624133604968,0.999428784281436
4.0,82.0,215228.72,213563.57778865844,1665.1422113415574,1528.455257061317,19024.897856137006,0.9922633828266898
4.0,83.0,69814.93,69298.81304023872,516.1169597612788,390.30821210249945,5312.74228352389,0.992607355478817
4.0,85.0,13723.27,13723.27,0.0,998.9950233641811,6992.965163549267,1.0
4.0,87.0,117749.07999999999,114712.7426313601,3036.337368639892,1402.7979224121366,25001.272300084413,0.9742134939089131
4.0,90.0,673785.74,672071.1467992943,1714.593200705698,2478.7719292604806,25924.369508351854,0.9974552842262502
4.0,91.0,469323.81,468791.8144161968,531.9955838032183,4000.7972718428355,30665.55882191594,0.9988664636814331
4.0,92.0,1228514.8900000001,1225323.1104145034,3191.779585496668,3030.257726887212,37170.70201569382,0.9974019203092469
4.0,93.0,539116.0499999999,533780.5176093291,5335.53239067088,1504.4854197805087,37209.05989181796,0.9901031839236267
